"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17)
Andhra Pradesh,0.3,0.6,1.5,5.7,6.4,7.4,8.3,12.9,18.7,20.4,8.4,9.4,100.0,2386.49,330272,9011
Arunachal Pradesh,6.2,3.0,12.4,5.6,4.9,5.3,5.8,7.5,10.5,14.1,11.5,13.1,100.0,2347.43,10401,6142
Assam,3.3,3.7,13.0,21.1,10.3,12.0,12.1,10.4,7.7,3.8,1.9,0.7,100.0,1554.55,273303,12448
Bihar,8.2,10.2,19.9,15.2,12.3,12.1,8.4,4.8,4.2,2.8,1.2,0.7,100.0,1387.93,851560,17481
Chhattisgarh,17.8,10.0,16.8,12.6,10.5,8.5,7.1,5.7,4.4,3.9,1.2,1.3,100.0,1377.76,206904,8244
Delhi,0.0,0.0,0.0,0.0,1.7,0.0,0.7,0.4,33.1,35.4,7.0,21.7,100.0,2988.58,5537,256
Goa,0.0,4.6,1.3,0.0,0.0,0.2,1.1,3.5,9.5,26.0,17.8,35.9,100.0,3277.65,5445,680
Gujarat,0.1,1.4,3.8,6.0,11.2,10.6,10.2,14.5,15.8,16.6,6.6,3.2,100.0,2033.68,331700,9188
Haryana,0.0,0.2,2.5,4.3,7.1,5.2,5.2,11.5,15.2,20.7,17.1,11.0,100.0,2527.29,175009,8004
Himachal Pradesh,0.6,0.3,2.1,2.6,4.6,7.4,8.1,10.0,13.6,20.5,14.4,15.9,100.0,2774.32,59515,7095
Jammu & Kashmir,0.0,0.5,2.3,9.2,8.4,10.9,10.5,13.9,15.3,14.4,6.6,8.0,100.0,2188.48,79574,9890
Jharkhand,14.4,13.4,17.4,11.7,11.5,8.4,7.8,6.1,2.9,3.3,2.1,1.0,100.0,1361.36,248767,9415
Karnataka,0.8,1.4,7.3,10.2,8.9,13.7,11.7,13.4,13.9,11.3,4.4,3.1,100.0,1890.65,358248,10817
Kerala,0.3,0.1,0.3,0.4,1.2,2.5,4.9,7.4,10.2,17.2,17.7,37.8,100.0,3726.60,165224,9408
Madhya Pradesh,9.4,7.4,13.3,13.4,11.7,11.4,10.4,8.1,5.9,4.9,2.3,1.9,100.0,1641.17,519895,15255
Maharashtra,3.1,2.3,6.5,7.7,10.8,8.4,10.7,14.0,14.3,12.2,5.2,4.8,100.0,1971.30,593146,17945
Manipur,0.2,2.3,16.7,10.1,16.6,12.5,6.4,7.5,7.9,12.6,3.1,4.0,100.0,1776.68,20430,7267
Meghalaya,0.0,0.5,1.9,5.0,7.5,15.4,8.2,16.1,20.2,18.0,4.4,2.7,100.0,2054.56,25491,4583
Mizoram,0.5,0.5,1.1,3.6,3.8,8.7,5.0,9.2,13.9,22.5,16.8,14.5,100.0,2613.21,5763,3495
Nagaland,0.2,1.9,2.4,1.1,6.2,11.9,17.6,9.3,11.4,21.2,10.5,6.4,100.0,2227.32,11687,3905
Odisha,21.5,10.1,17.0,12.8,9.4,8.8,6.3,4.5,3.4,3.2,1.4,1.5,100.0,1338.93,332062,12369
Punjab,0.0,0.0,1.3,1.2,2.7,2.9,4.9,9.1,11.7,20.3,21.0,24.8,100.0,3106.02,162864,8127
Rajasthan,0.8,1.7,6.4,6.3,9.7,11.4,10.8,12.7,14.4,15.6,4.9,5.4,100.0,2052.75,512274,15886
Sikkim,0.0,0.0,0.6,3.1,5.9,10.8,12.7,10.0,15.9,22.8,9.4,8.8,100.0,2357.86,4463,2835
Tamil Nadu,0.8,0.7,2.4,5.0,7.8,8.4,9.3,10.6,16.8,19.7,10.8,7.7,100.0,2326.04,363806,13078
Telangana,0.1,0.0,1.8,3.5,10.5,9.7,9.0,16.7,21.7,17.8,5.0,4.1,100.0,2123.24,193224,6679
Tripura,0.1,0.7,3.3,9.0,10.1,9.7,10.6,15.8,16.5,12.9,4.7,6.6,100.0,2115.34,27919,5373
Uttarakhand,0.2,0.9,4.5,12.5,8.3,6.5,8.3,9.0,14.0,17.1,8.7,9.8,100.0,2255.67,67496,4915
Uttar Pradesh,6.1,8.3,13.4,11.7,11.3,9.9,11.6,8.8,6.1,6.1,3.1,3.5,100.0,1654.01,1526037,33317
West Bengal,1.2,2.3,7.8,10.2,10.6,13.4,14.9,13.1,10.5,8.7,3.9,3.4,100.0,1848.98,602918,16141
A&N Islands,0.0,0.0,0.6,0.6,2.6,6.8,4.0,3.8,6.1,16.5,19.0,40.0,100.0,3568.56,2443,1170
Chandigarh,0.0,0.0,0.0,0.0,0.0,4.6,0.2,0.0,14.6,6.5,21.0,53.1,100.0,3808.08,381,242
Dadra & N. Haveli,0.0,0.0,5.4,19.3,24.5,9.7,9.7,14.6,8.8,2.8,2.9,2.3,100.0,1726.61,1836,444
Daman Diu,0.0,0.0,0.0,0.0,0.0,0.0,27.1,2.4,5.4,21.3,28.8,15.0,100.0,2709.66,534,276
Lakshadweep,0.0,0.0,0.0,5.6,0.8,5.8,7.2,5.1,13.8,17.7,19.3,24.8,100.0,3051.86,138,302
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,9.5,31.8,31.0,26.9,100.0,3374.99,4308,488
all-India,5.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,100.0,1872.13,8080573,292171
