"(1)",(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
Andhra Pradesh,1257,1396,1584,1798,2004,2177,2316,2573,2856,3504,4364
Arunachal Pradesh,776,980,1131,1410,1693,2009,2305,2689,3122,4185,5465
Assam,909,1041,1163,1237,1316,1456,1582,1719,1882,2164,2498
Bihar,824,892,993,1065,1186,1292,1390,1528,1662,1982,2321
Chhattisgarh,700,770,885,993,1094,1237,1368,1514,1724,2104,2526
Delhi,2154,2174,2199,2323,2459,2688,2784,2921,3630,5031,5472
Goa,898,1999,2290,2420,2714,3225,3549,3707,4056,5140,5643
Gujarat,1162,1299,1446,1601,1761,1930,2073,2284,2523,2897,3302
Haryana,1284,1389,1639,1931,2119,2335,2567,2847,3165,3650,4347
Himachal Pradesh,1301,1470,1663,1887,2125,2358,2664,2922,3318,4205,5831
Jammu & Kashmir,1221,1309,1471,1621,1789,1943,2115,2335,2650,3282,4111
Jharkhand,709,807,922,991,1097,1239,1374,1504,1703,1985,2504
Karnataka,1070,1169,1334,1491,1612,1760,1904,2094,2321,2720,3155
Kerala,1644,1833,2133,2452,2723,3069,3465,4019,4657,6123,8006
Madhya Pradesh,788,876,1019,1165,1290,1405,1538,1683,1890,2266,2725
Maharashtra,937,1103,1336,1474,1646,1823,1977,2175,2411,2908,3504
Manipur,1012,1060,1185,1335,1411,1526,1693,1928,2340,2749,3311
Meghalaya,1276,1416,1553,1622,1827,1972,2127,2271,2442,2676,3151
Mizoram,1312,1480,1691,1956,2183,2441,2690,2937,3238,4018,4824
Nagaland,1171,1454,1599,1685,1807,2011,2277,2609,2833,3253,3672
Odisha,715,776,847,960,1044,1183,1310,1470,1642,2024,2538
Punjab,1455,1723,1992,2243,2512,2767,3104,3407,3783,4894,5575
Rajasthan,1073,1190,1413,1545,1698,1854,2040,2256,2532,2931,3662
Sikkim,1373,1496,1629,1747,1970,2172,2374,2561,2796,3392,4154
Tamil Nadu,1217,1350,1543,1726,1944,2128,2309,2543,2848,3319,4048
Telangana,1323,1410,1510,1740,1889,2018,2160,2306,2448,2804,3391
Tripura,1188,1289,1422,1579,1755,1878,2052,2236,2485,3108,4066
Uttarakhand,1121,1231,1342,1547,1782,2017,2222,2529,2893,3553,4458
Uttar Pradesh,841,911,1062,1197,1336,1468,1621,1774,1999,2571,3237
West Bengal,1021,1128,1296,1452,1580,1673,1802,1969,2199,2674,3223
A&N Islands,1441,1614,2118,2447,2870,3081,3541,4069,4792,5434,7094
Chandigarh,1688,2135,2717,3186,3307,3649,3847,4070,4589,5615,6975
Dadra & N. Haveli,1156,1219,1305,1345,1417,1481,1652,1832,1951,2323,2548
Daman Diu,-,1654,1709,2144,2456,2686,2941,3043,3398,3742,4522
Lakshadweep,1328,1604,1907,2167,2368,2616,3010,3327,3719,4595,5540
Puducherry,2172,2303,2482,2738,2890,3087,3201,3440,4161,4900,5402
all-India,869,974,1165,1329,1479,1632,1811,2036,2352,2912,3576
